State,Beer_Volume,Beer_Ethanol,Beer_PerCapita,Wine_Volume,Wine_Ethanol,Wine_PerCapita,Spirits_Volume,Spirits_Ethanol,Spirits_PerCapita,Total_Ethanol,Total_PerCapita,Decile
Alabama,89404,4023,0.95,7766,1002,0.24,8355,3434,0.81,8459,2.0,9
Alaska,13174,593,0.99,2428,313,0.53,1871,769,1.29,1675,2.81,4
Arizona,140926,6342,1.03,18311,2362,0.38,14869,6111,0.99,14815,2.4,6
Arkansas,51419,2314,0.92,4458,575,0.23,4812,1978,0.79,4867,1.93,10
California,797599,35892,1.1,156026,20127,0.62,92196,37893,1.16,93912,2.88,3
Colorado,123181,5543,1.13,18025,2325,0.47,17675,7264,1.48,15133,3.08,2
Connecticut,49434,2225,0.72,12624,1628,0.53,8592,3531,1.15,7384,2.4,6
Delaware,20096,904,1.05,4537,585,0.68,4890,2010,2.34,3499,4.07,1
Dist. of Columb.,14260,642,1.13,4639,598,1.05,2660,1093,1.92,2333,4.1,1
Florida,439788,19790,1.04,83186,10731,0.57,62979,25884,1.36,56406,2.97,2
Georgia,177568,7991,0.89,17391,2243,0.25,18204,7482,0.83,17716,1.96,9
Hawaii,33108,1490,1.23,5468,705,0.58,2598,1068,0.88,3263,2.7,5
Idaho,26009,1170,0.74,3582,462,0.29,3405,1399,0.88,3032,1.91,10
Illinois,233706,10517,1.0,39508,5097,0.48,23940,9839,0.93,25453,2.42,5
Indiana,118649,5339,0.95,15725,2029,0.36,13750,5651,1.0,13019,2.31,7
Iowa,69630,3133,1.18,4459,575,0.22,6364,2615,0.99,6324,2.39,6
Kansas,56716,2552,1.06,2735,353,0.15,5812,2389,0.99,5294,2.2,8
Kentucky,76887,3460,0.92,6504,839,0.22,9656,3969,1.06,8268,2.21,8
Louisiana,103819,4672,1.24,9635,1243,0.33,11044,4539,1.2,10454,2.77,4
Maine,34069,1533,1.28,3948,509,0.42,3446,1416,1.18,3459,2.88,3
Maryland,72039,3242,0.63,13486,1740,0.34,14032,5767,1.12,10748,2.09,9
Massachusetts,106470,4791,0.8,26173,3376,0.57,21112,8677,1.45,16845,2.82,3
Michigan,175155,7882,0.93,25347,3270,0.39,21794,8957,1.06,20109,2.38,6
Minnesota,111429,5014,1.06,14315,1847,0.39,16107,6620,1.4,13481,2.85,3
Mississippi,61535,2769,1.14,3651,471,0.19,5396,2218,0.91,5458,2.25,7
Missouri,119121,5360,1.04,14144,1825,0.35,16869,6933,1.35,14118,2.75,4
Montana,33110,1490,1.58,3657,472,0.5,2614,1074,1.14,3036,3.21,2
Nebraska,38781,1745,1.09,2571,332,0.21,3373,1386,0.86,3463,2.16,8
Nevada,76663,3450,1.3,11787,1521,0.57,11526,4737,1.78,9708,3.66,1
New Hampshire,44620,2008,1.66,7503,968,0.8,5919,2433,2.02,5409,4.48,1
New Jersey,127405,5733,0.74,30442,3927,0.51,24170,9934,1.28,19594,2.53,5
New Mexico,46097,2074,1.17,4144,535,0.3,3943,1621,0.92,4230,2.39,6
New York,304862,13719,0.83,59270,7646,0.46,38755,15928,0.96,37293,2.24,7
North Carolina,204646,9209,1.03,33824,4363,0.49,17942,7374,0.82,20946,2.34,7
North Dakota,19580,881,1.38,1507,194,0.31,2506,1030,1.62,2106,3.31,1
Ohio,233957,10528,1.07,23252,2999,0.31,17016,6994,0.71,20521,2.09,9
Oklahoma,68696,3091,0.94,4624,596,0.18,6104,2509,0.76,6197,1.88,10
Oregon,97071,4368,1.21,15880,2049,0.57,8948,3677,1.02,10094,2.8,4
Pennsylvania,324136,14586,1.33,25427,3280,0.3,22159,9107,0.83,26973,2.46,5
Rhode Island,15372,692,0.74,3756,485,0.52,3503,1440,1.53,2616,2.78,4
South Carolina,98673,4440,1.0,8193,1057,0.24,9631,3958,0.89,9455,2.13,9
South Dakota,20708,932,1.26,1178,152,0.21,1465,602,0.81,1686,2.28,7
Tennessee,132406,5958,1.01,15299,1974,0.34,15242,6264,1.07,14196,2.41,5
Texas,619845,27893,1.15,62441,8055,0.33,52319,21503,0.88,57451,2.36,6
Utah,29481,1327,0.5,3480,449,0.17,3688,1516,0.57,3291,1.23,10
Vermont,19251,866,1.54,3113,402,0.72,1096,450,0.8,1718,3.06,2
Virginia,144092,6484,0.89,28727,3706,0.51,13738,5646,0.78,15836,2.18,8
Washington,122419,5509,0.84,24776,3196,0.49,14196,5834,0.89,14539,2.23,8
West Virginia,36797,1656,1.1,1231,159,0.11,2093,860,0.57,2675,1.77,10
Wisconsin,130758,5884,1.19,15090,1947,0.39,19143,7868,1.59,15698,3.17,2
Wyoming,12929,582,1.2,1073,138,0.29,1698,698,1.44,1418,2.93,3
