Unnamed: 0,Highest Blood Alcohol Concentration in Crash,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,BAC = 0.00,,BAC = .01--.07,,BAC = .08+,,BAC=.01+,,Total Killed,,,
State,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,,
Alabama,666,67,45,5,276,28,321,32,988,100,,
Alaska,61,75,1,1,20,24,21,25,82,100,,
Arizona,788,60,72,5,455,34,527,40,1320,100,,
Arkansas,440,69,48,7,150,23,197,31,637,100,,
California,2849,63,263,6,1419,31,1683,37,4539,100,,
Colorado,449,59,54,7,259,34,313,41,764,100,,
Connecticut,212,58,25,7,129,35,154,42,366,100,,
Delaware,101,63,10,6,51,32,61,37,162,100,,
District of Columbia,20,63,2,6,10,31,12,37,32,100,,
Florida,2459,69,151,4,932,26,1083,31,3548,100,,
Georgia,1195,67,92,5,509,28,600,33,1796,100,,
Hawaii,70,60,10,8,36,31,46,40,116,100,,
Idaho,137,64,9,4,69,32,78,36,215,100,,
Illinois,774,61,70,6,422,33,493,39,1268,100,,
Indiana,637,65,54,6,285,29,339,35,976,100,,
Iowa,194,58,24,7,113,34,137,41,336,100,,
Kansas,249,61,25,6,136,33,161,39,410,100,,
Kentucky,542,73,25,3,176,24,201,27,744,100,,
Louisiana,577,64,57,6,271,30,328,36,906,100,,
Maine,101,55,16,9,64,35,80,44,182,100,,
Maryland,346,61,21,4,199,35,220,39,566,100,,
Massachusetts,289,66,23,5,122,28,146,33,435,100,,
Michigan,774,69,56,5,294,26,350,31,1124,100,,
Minnesota,284,64,24,5,136,31,160,36,444,100,,
Mississippi,522,74,25,4,156,22,181,26,703,100,,
Missouri,690,65,76,7,290,27,366,35,1057,100,,
Montana,132,62,12,5,70,33,82,38,215,100,,
Nebraska,155,63,21,9,68,28,89,37,244,100,,
Nevada,246,59,30,7,141,34,171,41,417,100,,
New Hampshire,89,61,6,4,52,36,57,39,146,100,,
New Jersey,473,69,33,5,180,26,212,31,689,100,,
New Mexico,292,63,26,6,148,32,174,37,466,100,,
New York,723,61,76,6,383,32,459,39,1182,100,,
North Carolina,1108,68,68,4,453,28,521,32,1631,100,,
North Dakota,57,58,8,8,33,34,41,42,98,100,,
Ohio,701,55,88,7,479,38,567,44,1274,100,,
Oklahoma,490,69,30,4,189,27,218,31,710,100,,
Oregon,324,54,42,7,236,39,278,46,602,100,,
Pennsylvania,778,66,52,4,345,29,397,34,1179,100,,
Rhode Island,24,46,6,11,23,44,28,54,52,100,,
South Carolina,561,51,62,6,471,43,532,49,1094,100,,
South Dakota,83,61,9,6,45,33,54,39,137,100,,
Tennessee,879,67,72,5,361,28,433,33,1313,100,,
Texas,2229,51,291,7,1881,43,2172,49,4408,100,,
Utah,230,72,17,5,73,23,89,28,319,100,,
Vermont,42,55,8,11,26,34,34,45,76,100,,
Virginia,667,66,48,5,289,29,337,34,1006,100,,
Washington,422,57,49,7,266,36,315,42,743,100,,
West Virginia,189,71,19,7,58,22,77,29,266,100,,
Wisconsin,397,66,34,6,172,28,206,34,604,100,,
Wyoming,87,65,8,6,39,29,47,35,134,100,,
USA,26801,63,2388,6,13458,32,15846,37,42721,100,,
